Secteur	Catégorie	Activité
Informatique	Digital (Web / mobile)	Webdesign, intégration (dont UX/UI)
Informatique	Digital (Web / mobile)	Intégration CMS
Informatique	Digital (Web / mobile)	Référencement (dont SEO, traffic management, etc.)
Informatique	Digital (Web / mobile)	Création, achat, gestion de noms de domaine
Informatique	Digital (Web / mobile)	Développement, intégration de solutions e-commerce
Informatique	Digital (Web / mobile)	Mise en relation entre professionnels et/ou particuliers (via site internet et/ou application mobile) hors prestations réglementées, prestations dans le domaine touristique (y.c courtier en voyage), location ou vente de biens immobiliers, mise en relation pour des travaux de bâtiment et à l’exclusion de toute opération de financement participatif
Informatique	Digital (Web / mobile)	Développement de plateforme de mise en relation (B2B, B2C, de produits, de personnes, et de services)
Informatique	Digital (Web / mobile)	Edition, développement web / application mobile
Informatique	Digital (Web / mobile)	Autre - Digital (Web / mobile)
Informatique	Logiciel	Développement, programmation de logiciels / progiciels
Informatique	Logiciel	Test / recettes de logiciels / progiciels
Informatique	Logiciel	Vente, installation, paramétrage de logiciels / progiciels
Informatique	Logiciel	Consultant ERP, CRM, BI, Datamining (ex.: Oracle, SAP, Microsoft)
Informatique	Logiciel	Développement, programmation d'applications spécifiques / à façon
Informatique	Logiciel	Intégration de logiciels / progiciels
Informatique	Logiciel	Edition de logiciels / progiciels
Informatique	Logiciel	
Informatique	Jeux vidéos	Game design, UX, gameplay
Informatique	Jeux vidéos	Animation 2D/3D
Informatique	Jeux vidéos	Réalité augmentée / virtuelle
Informatique	Jeux vidéos	Edition de jeux vidéos
Informatique	Jeux vidéos	Développement / tests de jeux vidéo
Informatique	Jeux vidéos	Autre - Jeux vidéos
Informatique	Architecte	Architecte systèmes / réseaux / cloud
Informatique	Architecte	Architecte logiciel
Informatique	Architecte	Architectes / Ingénieurs
Informatique	Architecte	Autre - Architecte - Informatique
Informatique	Maintenance	Maintenance de matériel informatique
Informatique	Maintenance	Maintenance de matériel télécom
Informatique	Maintenance	Assistance, helpdesk, maintenance, tierce maintenance applicative, mises à jour
Informatique	Maintenance	Tierce maintenance de systèmes et d'applications informatiques
Informatique	Maintenance	Maintenance de logiciels
Informatique	Maintenance	Assistance informatique
Informatique	Maintenance	Autre - Maintenance - Informatique
Informatique	Service et conseil en informatique	Installation, configuration, paramétrage, distribution de matériel informatique
Informatique	Service et conseil en informatique	Sécurisation du système de téléphonie
Informatique	Service et conseil en informatique	Product owner, Business analyst en informatique
Informatique	Service et conseil en informatique	Sécurité des systèmes d'information, dont tests d'intrusion
Informatique	Service et conseil en informatique	Maîtrise d'oeuvre / gestion de projet / Tech Lead / Lead developer
Informatique	Service et conseil en informatique	Gestion électrique des documents / Archivage numérique
Informatique	Service et conseil en informatique	Prestations informatiques en mode régie
Informatique	Service et conseil en informatique	Conseil en cybersécurité hors gestion de projet
Informatique	Service et conseil en informatique	DPO / Consultant en RGPD (ou Délégué à la Protection des Données / Consultant RGPD) à l'exclusion de tout exercice de cette activité par un avocat 
Informatique	Service et conseil en informatique	Autres services (recrutement, veille, conseil en stratégie / organisation / marketing, etc.) dans la limite de 30% du chiffre d’affaires déclaré
Informatique	Service et conseil en informatique	Autre - Service et conseil en informatique
Informatique	Big Data / Cloud	DevOps
Informatique	Big Data / Cloud	Big Data / Data Science
Informatique	Big Data / Cloud	Cloud Computing
Informatique	Big Data / Cloud	Datamining, datascience
Informatique	Big Data / Cloud	Autre - Big Data / Cloud
Informatique	Formation	Formation (hors formation aux activités privées de sécurité soumises à agrément du CNAPS)
Informatique	Formation	Formation aux systèmes d'information
Informatique	Formation	Autre - Formation - Informatique
Informatique	Hébergement	Hébergement de données (stockage, sauvegarde, etc.)
Informatique	Hébergement	Hébergement de site / application web
Informatique	Hébergement	Hébergement de données et applications informatiques
Informatique	Hébergement	Autre - Hébergement - Informatique
Informatique	Infrastructure / Réseau	Architecte systèmes / réseaux / cloud
